Title,Video Link,Designation,Blitz Wave
Gemini Magic: From Smart Home Hacks to Creative Canvas Masterpieces,https://drive.google.com/open?id=1KluNxVaagpuGBajxV-aPLiRTLZuJuCWF,Highlighted,Wave 1
Unlocking Creative Brilliance with Gemini Canvas and the Nano Banana Hunt,https://drive.google.com/open?id=1u0_v1FjOAynwS0cH_vTN-kff2nz-VeX8,Highlighted,Wave 1
Unlocking Creativity: Exploring Google Gemini's Game-Changing Canvas Feature,https://drive.google.com/open?id=1un9shx6qb1r5hejoMlrJdF-fjmsEvFem,Highlighted,Wave 1
Unleashing the Magic: How Google Gemini Rewrote My Smart Home Routine,https://drive.google.com/open?id=1PSD2PvYXoH2tUxoV1K9kdmTpXN1jpQKp,Highlighted,Wave 1
Unleashing Gemini: From Backyard Barbecues to Smart Kitchen Hacks,https://drive.google.com/open?id=1dD7PDjqshOh_4-w2cLbuiRUyzt3Pn7nY,Winner!,Wave 1
Unlocking Tomorrow: How Google Gemini Rewrites the Rules of Everyday Magic,https://drive.google.com/open?id=1V8w6gGmiFNtd_4ZN0NkQrvdEaKD89dcf,Winner!,Wave 1
Gemini in Action: From Canvas Masterpieces to Nano Bananas and Beyond,https://drive.google.com/open?id=19hvACWVY5b_ysk50aTTZf5pHGp7xvXT0,Winner!,Wave 1
Gemini Unchained: From Cocktail Napkin Sketches to Fully Functional Apps,https://drive.google.com/open?id=173OXqcnS8nbALF-ohaTa1817LR-BlMZ0,Winner!,Wave 1
Unlocking the Future: Google Gemini Redefines Home Automation and Digital Artistry,https://drive.google.com/open?id=1HiDPo6RA4Vw8vhmljwCYewlp16PEyeeQ,Unuseable,Wave 1
Unleashing Gemini: From Backyard Barbecues to Quantum Coding Masterpieces,https://drive.google.com/open?id=1-y4lyqdWMU_64udbNfKEyCHEKhd1dqyI,Unuseable,Wave 1
Gemini Genius: Unlocking the Ultimate Creative Canvas Hacks,https://drive.google.com/open?id=1srgmUMK5S_8Mm4hHBTmcqG7Q6f2SSP6u,Unuseable,Wave 1
Gemini Unlocked: From Pixel Glow Gestures to Smart Kitchen Revolution,https://drive.google.com/open?id=1qzBHvHoTUlR60sPstTlySDP46H8qXBGg,Unuseable,Wave 1
Gemini Unlocked: From AI App Prototypes to Smarter Living Spaces,https://drive.google.com/open?id=1wqVYJzgNVALyTGQJJzABSL2H-tXbVdX2,Unuseable,Wave 1
Gemini Galaxy: Unleashing Smart Home Wizards and Canvas Connoisseurs!,https://drive.google.com/open?id=1EbJoSQPtJOIePh0J-EB3H6OPw91wjkLu,Unuseable,Wave 1
"Unleash the Magic: Gemini Canvas, Smart Living, and Nano Banana Adventures",https://drive.google.com/open?id=1JNJKM5X53-50maMYhRQntodUPgp4jDbt,Unuseable,Wave 1
Gemini Genius: Unlocking Next-Gen Productivity and Creative AI Wonders,https://drive.google.com/open?id=1S08odVu38tSZPfFlZltdM4cGVkouEgyr,Unuseable,Wave 1
Unleashing the Magic: How Google Gemini Transforms My Daily Routine,https://drive.google.com/open?id=1iSEobFYirJWED_5vbSUozHyuQa9xupEk,Unuseable,Wave 1
From Doodles to Masterpieces: Transforming Art with Gemini Canvas,https://drive.google.com/open?id=1U8msLNgyOoP9AbGGij63HCm856rzqmLI,Unuseable,Wave 1
Transform Your Space with Gemini: Nano Banana and Smart Home Hacks,https://drive.google.com/open?id=116NWRPK0n9QeJ1_gEnANj9dTlfictjmq,Unuseable,Wave 1
Gemini Unlocked: Exploring Interactive Canvas and Smart Home Tech,https://drive.google.com/open?id=1ine7mo8F1-caatFz2bH6gmbyOIR3QssL,Unuseable,Wave 1
Unlocking Creativity: How Google Gemini Transforms Daily Tasks into Masterpieces,https://drive.google.com/open?id=1_bEtG1sd65bHv9OrPDQdGi0PxQZvHQxR,Unuseable,Wave 1
Gemini Masterclass: From Nano Banana Realness to Ultimate Home Decor Hacks,https://drive.google.com/open?id=1JXr2pQnOz8VaqkjywflzbEfyy1uMeZCr,Unuseable,Wave 1
Mastering the Canvas: How Google Gemini Sparked My Ultimate Home Decor Makeover,https://drive.google.com/open?id=1Q9WaKFB3Vylby_d1J_D830PBe4yeMl6i,Unuseable,Wave 1
Gemini Brilliance: Revolutionizing Daily Routines with Smart Canvas Innovation,https://drive.google.com/open?id=12SCQyNQQzQr-px5igcPhZ8LXrbwSHBnO,Unuseable,Wave 1
Gemini Magic: Designing Dream Homes with Gemini Canvas,https://drive.google.com/open?id=1XmxfwBgGP7PjlWwfcOLfNIosxy_be7wV,Unuseable,Wave 1
Gemini Vibe Coding: Crafting App Wireframes and Digital Decor From Napkin Sketches,https://drive.google.com/open?id=1Y7h3u790oyqshONgBAW2sHUgj2uaxJjn,Unuseable,Wave 1
Gemini Canvas Chronicles: Nano Banana Art and Next-Gen Home Decor Masterpieces,https://drive.google.com/open?id=1Zfvp8v6nHYWC6RAiwvtglYyT2Zl6kIu3,Unuseable,Wave 1
"Gemini in the Wild: Smarter Living, Creative Coding, and Everything in Between!",https://drive.google.com/open?id=1xX3_f2jjLDpg3AjTVPsq0PKZ2nNOHeQY,Unuseable,Wave 1
Gemini Masterclass: From Sketch to Reality with Canvas and Nano Banana,https://drive.google.com/open?id=1mKeqrP21EmVHvQVD4kFEeC4R4uvFerXz,Unuseable,Wave 1
Gemini Unleashed: Crafting Masterpieces from Home Hacks to Canvas Creations,https://drive.google.com/open?id=1VolTdKQxlRgMO46Pqy_iyw3f1Hhe7q1u,Unuseable,Wave 1
Gemini's Corkboard Wonders: Vibe Coding Your Next Great Idea!,https://drive.google.com/open?id=1rDd4Z1M_fxTS9tvH1B6hD8SG0lMxg5ml,Runner Up,Wave 2
Unlocking Creativity with Gemini Canvas: Tech Hacks and Home Decor Magic,https://drive.google.com/open?id=1jllIYpiA1Ly-VQ0ovVMMbK9wPcWJKhpK,Runner Up,Wave 2
Unlocking Creativity: Gemini Canvas Magic from Home Decor to AI Masterpieces,https://drive.google.com/open?id=1YLz5ht7MSqkNokaCpySUe545dIOF9_Bb,Runner Up,Wave 2
Gemini Spark: From Smart Kitchen Creations to Instant Travel Itineraries,https://drive.google.com/open?id=1JCxEh2ywdqaNoazZp4JdzJuCHAcY9dmA,Runner Up,Wave 2
Gemini Canvas Unleashed: From Doodles to Working Apps with Nano Banana!,https://drive.google.com/open?id=1x07g7PlzyCGk_eu_AFodw1gdzQuTQduD,Runner Up,Wave 2
"Unlocking Creativity: Nano Bananas, Home Decor, and the Magic of Gemini Canvas",https://drive.google.com/open?id=1eaRtcSOYaFvLWpjhWAXNDggI0HoUSBkX,Runner Up,Wave 2
"Unlocking AI Magic: Gemini Canvas, Smart Home Hacks, and Everything in Between",https://drive.google.com/open?id=1RFugCmwfpIYwOr7zut4uz5i_QmO7ixyT,Runner Up,Wave 2
Unleashing the Magic: How Google Gemini Rewrites the Rules of Everyday Creativity,https://drive.google.com/open?id=1XZhJFVsPDuHBRbc25ivk8kDWVrbroidQ,Runner Up,Wave 2
Gemini Unleashed: From Nano Bananas to Mastering the Creative Canvas,https://drive.google.com/open?id=1VGgwbRnIq05t8kejbpBGUGg5K4iWeeHi,Runner Up,Wave 2
"Gemini Unlocked: Creative Canvas, Code Magic, and Home Hacks",https://drive.google.com/open?id=1by86alefJ6yr0JpJveAq1ttubPVt2fy4,Runner Up,Wave 2
Gemini Magic: From Smart Home Hacks to Creative Canvas Masterpieces,https://drive.google.com/open?id=1Wo3XbRJaGEHKLkMUAN8Fjka3fqQJ60BG,Runner Up,Wave 2
"Gemini Unleashed: Coding, Cooking, and Creative Chaos!",https://drive.google.com/open?id=1JuiYTwJ6aKaAHkYEqh-ZQx1slP889BPp,Runner Up,Wave 2
Vibe Coding Extravaganza: Crafting Interactive Apps with Gemini Canvas!,https://drive.google.com/open?id=1Gy0wZN-n4KpzdA_zgR4pOtDx_WxoVXSj,Runner Up,Wave 2
Unleashing Gemini: How I Turned My Messy Kitchen into a Smart Oasis,https://drive.google.com/open?id=1VX6LSmMbtPMtV1jr_PKP29VpxQU1d0ha,Runner Up,Wave 2
Gemini Canvas: Transforming Home Decor with AI Brilliance,https://drive.google.com/open?id=1SFBlJMA8WcF_o1wSrRZBAqmlBeE7JCRX,Runner Up,Wave 2
Gemini AI: Turning Rough Sketches into Digital Reality with Canvas,https://drive.google.com/open?id=1WlKOor50Pa8eEMq2JdUSsilRQgJYYO8P,Runner Up,Wave 2
From Sketch to App: How Gemini Canvas Brings Your Creative Ideas to Life,https://drive.google.com/open?id=1Z0kr0pzXlJAOzW-ty8kJdlMFY8FVA61B,Runner Up,Wave 2
Unlocking the Future: Smart Living and Creative Magic with Google Gemini,https://drive.google.com/open?id=1_7Z0rurzH7uuJMlZ4BU3PbVLaZln8ySZ,Microphone Off,Wave 2
Gemini Canvas Unlocked: Smart Home Secrets and Creative Masterpieces,https://drive.google.com/open?id=1318HU8kWkJanx3u-VvkixXaOB2I94dx0,Flagged,Wave 2
Unlocking Creativity: Gemini Canvas and the Art of Everyday Innovation,https://drive.google.com/open?id=132HVaunVpeKuyq1O86lVNFy2KGSSKeNb,Flagged,Wave 2
From Napkins to Apps: Unleashing the Magic of Gemini Canvas,https://drive.google.com/open?id=15CFuBhpIzoT6ShZMLAAnN4EvQ1CS3FlH,Approved,Wave 2
Unleashing Gemini: From Coding Assistance to Gourmet Recipe Hacks,https://drive.google.com/open?id=1j2-pYiaDMsBpK0VQTAH31DzZEet8wrS5,Approved,Wave 2
